,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
13,61c20fa2b900a51b4f0cfa9a,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,4,Pretty good,Abhishek Batra,2 months ago
14,61c20fadb900a51b4f0cfa9c,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Excellent,VIKRAM KUMAR,"Dec, 2020"
15,61c20fb3b900a51b4f0cfa9e,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,4,Wonderful,Abul Jaish,5 months ago
16,61c20fb9b900a51b4f0cfaa0,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,1,Worst experience ever!,Flipkart Customer,2 months ago
17,61c20fc3b900a51b4f0cfaa2,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Highly recommended,Pratik Modak,7 months ago
18,61c20fc8b900a51b4f0cfaa4,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Worth every penny,Sidhant Nayak,5 months ago
19,61c20fccb900a51b4f0cfaa6,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Best in the market!,Kannan G,7 months ago
20,61c20fd3b900a51b4f0cfaa8,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Great product,Vipin BHASKAR,4 months ago
21,61c20fddb900a51b4f0cfaaa,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Terrific,Philip Augustine,2 months ago
22,61c20febb900a51b4f0cfaac,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Great product,Abhilash K,8 months ago
23,61c20ff4b900a51b4f0cfaae,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Excellent,Sandip Das,7 months ago
24,61c20ff9b900a51b4f0cfab0,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Best in the market!,Amit chauhan,2 months ago
25,61c20ffeb900a51b4f0cfab2,"APPLE iPhone 12 (Black, 64 GB)",iphone,"₹54,199","['Bank Offer5% Unlimited Cashback on Flipkart Axis Bank Credit CardT&C', 'Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Special PriceExtra ₹11701 off(price inclusive of discount)T&C', 'View 6 more offers']",17% off,NO EMI Plans,5,Awesome,Rohan Gupta,9 months ago
